Track Name,Artist Name(s),Album Name,Album Release Date,Explicit,
Evidence,Katatonia,Viva Emptiness - 10th Anniversay Edition,2003,FALSE,"I hold my breath and check the time
One minute no collapse
If you only knew what I would do for you
One thirty breathing lapse
We're going in my voice is thin
When I tell you to remember
That no one will find you
My promise from the heart
If we part my pulse will guide you through
Be still for a moment
Everything depends upon you
If you die I will die too
Once we were heroes
But everything has changed since then
Now they recognize you too
I stay too long something's wrong
You walk out of the picture
I hold my breath and check the time
One thirty i collapse
We went in my voice was thin
When I told you to remember
I'm the evidence
You passed the test and that's so good for you
O love will you read the letters I will send to you
Will I come along
Will they let me out to take the test
O love is the score enough for me to pass the test"
For Your Vulgar Delectation,Cradle Of Filth,Peaceville Presents... Cradle of Filth,5/20/2013,FALSE,"Welcome with a stench of misadventure
Libertines and sibling things a grim
Slither forth through the gateway's hissing denture
The moon, one up on the chateau battlements
Gilds this torchlit drive to Shangri-la
This solstice calls like the piper to rodentia
Come join this hive of masqueraders
This eve is pure and pagan
Its teeth are in the past
Dark royalties of ancient caste
Feast in splendour
For your vulgar delectation
Decreed
That hunger shall be sated by the dawn
In marble ballrooms
Of delight
The erotic and the wicked dance alike
Virgin cunts aquiver at this foreplay for the spiteful
The cellars smelt abrim
With cracked wine and racked women
Are spiced for even Marquis appitites
Screams an aphrodisiac
For the blackest ever nightfall
Lords, heed the call
Vast boudours here
Are mastered by the minatory
Walls plastered with the base relief
Of baser glories
Ma Cherie Debauchery
Deflower of my life untie their bonds
And push these fantasies
To ever greater stories
For your vulgar delectation
Inhibit nothing, run free
Loose sore cateries before me
Ripped, prolific scars
Are titbits on which to feed
The heathen hour strikes
Wrong, the rites
Beasts ravage for your soul
As lovely entrapment snaps
Her fingers, Hell comes crawling
This eve is pure and pagan
Its teeth are in the past
Let the cream of sinners learn at last
For your vulgar delectation
Decreed
That hunger shall be sated by the dawn
Dawn...
Bursting, aghast
With the judgement that we spend upon the evil
We feed eternal hungriness
Exceeding vile deeds that were freed in this cathedral
For your vulgar delectation
Decreed
That horrors shall be waited on the
Ones who crave sin's innovations"
Fever Dreams,Dio,Magica (Deluxe Edition),6/25/2013,FALSE,"Lately when my demons drag the night across my eyes
I just can't seem to fight it anymore
Yield unto temptation and be ruler of the world
But it seems that I have heard that song before
And the voices begin to sing, come home
I have seen some evil as I've walked upon the earth
But this is way beyond what eyes can see
Wicked is as wicked does and if I lose control
Is this the way that hell is gonna be
Have I fallen too far to rise
Been burning too long in the fire
Then it all falls down, tearing the night away
It must be, fever dreams
Fever dreams
Fever dreams
Now before my demons roll the night across my eyes
I tremble as I wait perhaps to sin
Yield unto temptation and be ruler of the world
And all I do is let the beast come in
Have I fallen too far to rise
I've been standing too long in the fire
Let it all fall down
Tearing the night away
It must be, fever dreams
From the outside, fever dreams
Oh, fever dreams
Fever dreams
Ooh, ooh
Fever dreams
Fever dreams
Fever dreams
Fever dreams
Fever dreams
Fever dreams"
End Of Disclosure,Hypocrisy,End Of Disclosure,2/22/2013,FALSE,"I'm sitting on the moon looking down on you
And watching what you've become
The new world order has a plan for you
A great deception that will make you numb
Fantasy invasion from the sky
Trillion dollars secret funds
Drilling cities underground
Only for the selected ones
End of disclosure
Now the countdown has begun
End of disclosure
Before they kill everyone
Don't speak
You will disappear
They're gonna erase the truth
Mass genocide
70% will die
It's too late for you
Fantasy invasion from the sky
Trillion dollars secret funds
Drilling cities underground
Only for the selected ones
End of disclosure
Now the countdown has begun
End of disclosure
Before they kill everyone
They're gonna nuke the world
When they're hiding in their bunks
Slaughter us like animals
End of disclosure
Now the countdown has begun
End of disclosure
Before they kill everyone
End of disclosure
Now the countdown has begun
End of disclosure
Before they kill everyone"
July,Katatonia,Introducing Katatonia,4/22/2013,FALSE,"You come clean
Waves collide now
Defenseless numb arms
And no voice of reason
So how come you invited me too?
You knew I wanted you
You glide above
So this night belongs to you
I know this isn't through
Are you dead to love?
I see the bright lights
It's the month of July
It's violent here
Why have you left me?
If only you could stay
And keep me in
It's violent here
Why did you run from me?
So how come you invited me too?
You knew I wanted you
You glide above
So this night belongs to you
I know this isn't through
Are you dead to love?
Heat
Night devour me
Heat
Night devour me
Repeat, repetition
I see the bright lights
It's the month of July
It's violent here
Why have you left me?
If only you could stay and keep me in
It's violent here
Why did you run from me?"
Stranger Aeons,Entombed,Clandestine (Full Dynamic Range Edition),1991,FALSE,"One more dead soul there's a hole in the sky
Illuminating dream quest the prophet's eye
By virtue of madness a sign of faith
Lurking at the threshold you're lost
Between the gates
Death's a solution to life's dead illusions
Stranger aeons, stained by re-creation
Stranger aeons, of hallucination
Stranger things that eternal lie
Awaiting beyond the time to die
In the city of gods in the temple of lies
Initiation progression Zarathustra cries
You were wrong from the start
We will never part
Stranger aeons, stained by re-creation
Stranger aeons, of hallucination
Take strange drugs, swallow your pride
It's all but a game, nuclear stock piles"
Spiritual Healing,Death,Spiritual Healing,1990,FALSE,"Always blocking the doors to your mind
Escaping the reality that surrounds you
Using faith as an excuse to kill
A sick way of life is now revealed
All the prayers in the world can't help you now
A killer a take of life is what you are
Preach the good word
Speak no more, perpare to burn
A justified torture?
From this may others learn
The life you took a holy death, a grave mistake
No changing your mind, your life you should pay
Practice what you preach
Your loved one is now deceased
Knowledge is at our hands
Never to understand
Spiritual healing
Blinded by the twisted ways you live
Kill for religion, will the Lord forgive?
Idiocy has stricken you mind
A real-life hell you will find"
I'm Alive,Anthrax,Worship Music - Special Edition,3/22/2013,FALSE,"Look in my holy eyes
An empty smile
And you're hypnotized
Selling lies, my enterprise
The sheep just get in line
Capitulate so easily
The power of fear
That I'm trafficking
Years of sleep have made you blind
I made the bed your in
As I lead the child to war again
Heaven lives in every gun
I damn you
I'm alive to be the demon
I'm alive to be the one
Yeah yeah yeah yeah
Hell it lives in everyone
When your world has slipped away
And all you have is me to pay
Once so proud you beg for more
And spread you legs like some dirty whore
As I lead the child to war again
Heaven lives in every gun
I damn you
I'm alive to be the demon
I'm alive to be the one
Yeah yeah yeah yeah
Hell it lives in everyone
I'm alive to be the demon
I'm alive to be the one
Yeah yeah yeah yeah
Hell it lives in everyone
I'm invited in
One nation under me
As I lead the child to war again
As I lead the child to war
As I lead the child to war
Heaven lives in every gun
I'm alive to be the demon
I'm alive to be the one
Yeah yeah yeah yeah
Hell it lives in everyone
I'm alive to be the demon
I'm alive to be the one
Yeah yeah yeah yeah
Hell it lives in everyone
I'm alive to be the demon
I'm alive to be the one
Yeah yeah yeah yeah
Hell it lives in everyone"
Push,Dio,The Very Beast Of Dio Vol. 2,10/9/2012,FALSE,"You've ridden on a carousel
So you know the feeling as the ring slips through your fingers
Sometimes you justify it
But there's the sword and you're bleeding once again

Before you're in a corner
Can't crawl away
Here's a way to save you

You got to push
Get out of my way and push
You can turn the wheel, push
One more push
You're master of the broken heart
And so you know the feeling as your soul starts going under
Sometimes you rectify it
Then out of the blue the hammer falls again

Before you're in the water
Can't sail away
Here's a way to save you

You got to push
Break the body down, oh push
Out of my way, I'll push
You better push

You got to push
Hands against the wall
And push
Out of my way, we'll push
You can turn the wheel
Go on and push
Push
Push
Push
Push"
The Abhorrent,Cradle Of Filth,The Manticore and Other Horrors - Extended Claws,5/20/2013,FALSE,"I sing desolation
On the breath of centuries
Bringing annihilation
Slaughter courses through my enemies
I was not always so cold
Once upon a crime in times of favour
I had lived a God amongst the bold
Like a true poetic saviour
But my people were dissolved
By the flames of righteous strangers
My name blackened ten thousandfold
Death grew to know me...
As the abhorrent
Stricken from the light
As dividing curses poured
I was hiding in the thickening mire
Biding for my war
I'm climbing up the years to get you
From a dark abyssic scheme
Lovecraftian, part-Martian
To be the beast I used to be
My laureates of gold are sold
Horns spear the reddened sea
And by my transformed hand
Be sure
The Heavens hear your final screams
Tonight this world is burning
To a fulsome serenade
Arch nemesis, I'm the genesis
Of a raging plague about to break
Blue eyes rolled headlong to black
When the darkness drew me to her caresses
I was not always so co cold
Once upon a crime in times of old
I had lived a God amongst the folds
Of creeping epic failure
But my people were dissolved
By the flames of righteous strangers
My name blackened and deeds annulled
They grew to know me...
As the abhorrent
I'm a cemetery and a garden
Ripe with near-putrefied life
A phallus beginning to harden
On the philosophy of a prurient knife
I hear the dead begin to cry
Hostis Humanis Generis
My favorite leaden lullaby
On sacred eves I've asked for sacrifice
Mere moments of atonement
For your despise
A stern believer
That the great deceiver
Is your precious God
Whose preachers saw me demonised
Now, the sun it sets
On your nascent best of days
Time to rise
Gorgon, Calibos and Cane
Titans unrepentant
Lord Lucifer insane
If I am the Devil
I shall honour my spiteful name
Tonight this world is burning
To a fulsome serenade
Arch nemesis, the rest of this
Destructive wickedness is on its way"
Storytime (Edit) - Live @ Wacken 2013,Nightwish,Storytime (Edit),10/25/2013,FALSE,"‘Twas the night before
            When all through the world
            No words, no dreams, then one day

            A writer by a fire
            Imagined all Gaia
            Took a journey into a child-man’s heart

            A painter on the shore
            Imagined all the world
            Within a snowflake on his palm

            Unframed by poetry
            A canvas of awe
            Planet Earth falling back into the stars

            I am the voice of Never-Never-Land
            The innocence, the dreams of every man
            I am the empty crib of Peter Pan

            A silent kite against the blue, blue sky
            Every chimney, every moonlit sight
            I am the story that will read you real
            Every memory that you hold dear

            I am the journey
            I am the destination
            I am the home
            The tale that reads you

            A way to taste the night
            The elusive high
            Follow the madness
            Alice, you know once did

            Imaginarium
            A dream emporium
            Caress the tales
            And they will dream you real

            A storyteller’s game
            Lips that intoxicate
            The core of all life is a limitless chest of tales

            I am the voice of Never-Never-Land
            The innocence, the dreams of every man
            I am the empty crib of Peter Pan

            A silent kite against the blue, blue sky
            Every chimney, every moonlit sight
            I am the story that will read you real
            Every memory that you hold dear

            I am the voice of Never-Never-Land
            The innocence, the dreams of every man
            Searching heavens for another Earth"
Peace Sells - Live At The Fox Theater/2012,Megadeth,Countdown To Extinction: Live,1/1/2013,FALSE,"What do you mean I don't believe in God?
I talk to him everyday
What do you mean, I don't support your system?
I go to court when I have to
What do you mean, I can't get to work on time?
I got nothing better to do
And, what do you mean, I don't pay my bills?
Why do you think I'm broke? Huh?
If there's a new way
I'll be the first in line
But it better work this time
What do you mean, I hurt your feelings?
I didn't know you had any feelings
What do you mean, I ain't kind?
Just not your kind
What do you mean, I couldn't be the President
Of the United States of America?
Tell me something, it's still ""We the people"", right?
If there's a new way
I'll be the first in line
But it better work this time
Can you put a price on peace?
Peace
Peace sells
Peace
Peace sells
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
Peace sells, but who's buying?
No, no-no-no-no
Peace sells (Peace sells)
Peace sells
Ah"
"More Than Meets the Eye (Live @ Paramount Theatre, Huntington, New York)",Testament,Dark Roots of Thrash (Live),10/29/2013,FALSE,"Life in a world untold, question the unknown
This prison captures me, my cell is all I know
I thought I knew it all, stubborn in my ways
My sentence has begun, my future's what I waste

Next chapter of my life, filled with violent scenes
I stay awake at night hiding from my dreams
The voices haunting me, driving me insane
Can't seem to get away, they're calling out my name
I feel I am slipping
Are they out to get me?
My life is upside down
More than meets the eye
[Solo]

For now, I am in control, choosing my own fate
And now I sleep at night because I'm not afraid
The demons haunting me, I chased them all away
I've conquered all my fears, my destiny awaits

I'm no longer slipping (I'm not slipping away)
No one is out to get me (No one will get in my way)
No longer upside down (I've turned my life around)
More than meets the eye
More than
More than
More than
More than meets the eye"
Trauma of War,Sepultura,The Mediator Between Head and Hands Must be the Heart,10/25/2013,FALSE,"Children watch their mothers die
Raping a city in the name of freedom
Children growing, their hate inside
A world they lost in the name of reason
I never came back from that trench
I can't be alone, I won't be alone
A schizophrenic cycle of paranoia
Trauma of war! Trauma of war!
I saw the worst in the human nature
My hands are stained with blood of death
Attack all ghosts, I'm like a soldier
Wasted minds that are all alike
I never came back from that trench
I can't be alone, I won't be alone
A schizophrenic cycle of paranoia
Trauma of war! Trauma of War!
Freedom comes with a hail of bullets
My sun is getting dark
My urge to kill awakes
My world is no more
My urge to kill awakes
Children watch their mothers die
Raping a city in the name of freedom
Children growing, their hate inside
A world they lost in the name of reason
I never came back from that trench
I can't be alone, I won't be alone
A schizophrenic cycle of paranoia
A schizophrenic cycle of paranoia"
Orphanage Airlines,Nightwish,Imaginaerum (The Score),11/12/2012,FALSE,
TNT,Anthrax,Anthems,3/25/2013,FALSE,"See me ride out of the sunset
On your colored TV screen
Out for all that I can get
If you know what I mean
Women to the left of me
Women to the right
Ain't got no gun
Ain't got no knife
Don't you start no fight
'Cause I'm
T.N.T.
I'm dynamite
T.N.T.
And I'll win the fight
T.N.T.
I'm a power-load
T.N.T.
Watch me explode
I'm dirty, mean and mighty unclean
I'm a wanted man
Public enemy number one
Understand
So lock up your daughter
And lock up your wife
Lock up your back door
And run for your life
The man is back in town
So don't you mess with around
'Cause I'm
T.N.T.
I'm dynamite
T.N.T.
And I'll win the fight
T.N.T.
I'm a power-load
T.N.T.
Watch me explode
T.N.T.
T.N.T.
T.N.T.
T.N.T.
T.N.T.
I'm dynamite
T.N.T.
And I'll win the fight
T.N.T.
I'm a power-load
T.N.T.
Watch me explode"
Hope In Hell,Anvil,Hope In Hell,5/24/2013,FALSE,"When damnation has begun
And there’s nowhere to run
In yourself do believe
What you put out will be about what you receive

You think that you’re the only one
Whose chances are slim to none
Living just to find the way
Right from the start true to your heart you must stay, you must stay

Hope in hell, finding love and losing hate
Hope in hell, enjoy your life it’s not too late
It’s not too late

Salvation is all you need
When damnation has begun
And chances are slim to none
Live your life and find a way
Straight from the heart
Right from the start every day, every way
What I convey, every day

Hope in hell, finding love and losing hate
Hope in hell, enjoy your life, it's not too late

Hope in hell, finding love and losing hate
Hope in hell, don't stand in line, hell can wait"
Eat Your Heart Out - Live,Dio,Snapshot: Dio,8/20/2013,FALSE,"Well, it's been a long hot road I've been upon
Through the desert of your soul
I've looked high and low for water
But it's not there, no, no

And all the promises of springtime
Turned to lies so cold
But I'm stronger than you know
And I've come to let you go

Go eat your heart out
You've been a bad, bad girl
You've been hungry all of your life
So eat it out

I've been a prisoner just locked away
Inside your velvet jail
It don't matter at all
Some things can grow without the light, all right

Spinning cages for her pleasure
Weaving chains to hold the prize
Magic moments with the jailer
All on fire and then he dies

Eat your heart out
You've been a bad, bad girl
You've been hungry all of your life, yeah

We speed across emotion
And then we lose our hold
We turn on wheels of passion
That we can't control

And all the promises of springtime
Turned to lies so cold
But I'm stronger than you know
And I've come to let you go

Go eat your heart out
You've been a bad, bad girl
You've been hungry all of your life
So eat your heart out

Eat your heart out
You've been a bad, bad girl
You've been hungry all of your life
So eat it out

Eat your heart out
Run to the shadows and hide
Eat your heart out

Spinning cages for her pleasure
Weaving chains to hold the prize
Magic moments with the jailer
All on fire then he dies, then he dies, then he dies "
Serpent Speech,Entombed,Hollowman (Full Dynamic Range Edition),3/21/1993,FALSE,"A serpent crawls in the ashes
In the remains of human misery
Awake but sleeping in the hour of disgust
Behind bars your mind is free

Sleeping pills of wormwood
Taken by mother insane
But life goes on, life goes on
Towards death in the fast line

Genocide, no more lies
The modern man is a freak
Shut your eyes, suicide
The serpent laughs as we speak
Come and join us in the reptile dance
Dance with me and the devil
We fucked it up, fucked it up
And we'll keep fucking it up as we level"
The Age of the Atheist,Sepultura,The Mediator Between Head and Hands Must Be the Heart,10/25/2013,FALSE,"What do you see depends of what you are looking for and what are you looking for, needs to be believed.
It needs to exist in your head, you need to believe to disbelief.
What do you see depends on the idea planted in your mind, what type of seeds have been planted?
What do you believe depends on what you see!
Diversions are blocking our vision from the truth, the clear reality
Diversions turn our world to shit must stop. Deny!
No Gods, no leaders, no prophets telling my future!
No heaven, no hell, not a messiah!
The needle of our medicine injecting poison vaccines
Our veins no longer carry blood – robotized – I deny!
No news, no ads, no anchor telling us lies
No secrets, no war, there's no savior!
It's the age of the atheist!
All your senses – eyes wide open
It's the age of the atheist!"
Deadline,Venom,The Best of Venom,11/11/2012,FALSE,"I lust a princess - A crystal queen
Virginal whiteness is all that I dream
My magic snow - Show me your real
To make a contact - I'm dying to feel
Watch out - You there
She makes you feel good
Don't you care
Inside - Can't fight it
It's a deadline now
You bring your money and be there
For the deadline now
It's a deadline now
For the midnight frost
Give me an angel - Blow me a breeze
It's a deadline
Hunting a killer - It's a jungle disease
Watching in marvel you'll steal her release
You walk on silver - Travel the seas
Watch out - You there
Don't you care
She makes you feel good
Inside - Can't fight it
You bring your money and be there
For the deadline now
For the midnight frost
It's a deadline now
It's a deadline now
It's a deadline now
My mind's in torment - Something's not clear
I take my godess where nobody hears
She sees right through me - She's in my mind
Mother of madness - Immortals blind
Watch out - You there
She makes you feel good
Don't you care
Inside - Can't fight it
You bring your money and be there
For the deadline now
It's a deadline now
It's a deadline now
For the midnight frost
It's a deadline now
It's a deadline now
It's a deadline now
It's a deadline now"
Tales of Thy Spineless,Hypocrisy,End Of Disclosure,3/22/2013,FALSE,"See your future come crashing down
Evil's licking its lips
Another feast of a spineless man
That tries to fight for his life
Infected system
Infected minds
They're blinded by greed
Our days are numbered
Our days are few
The devil takes what he wants
Bloodshed released
Chambers filled with deceptions
Don't trust the priest
The living dead
Corruption slips right through its fingers
You've been deceived
Turning dreams into hatred
Spineless man crawling in the dirt
And crushing lives for the pleasure
The world is spinning out of control
Infected system
Infected minds
They're blinded by greed
Our days are numbered
Our days are few
The devil takes what he wants
Bloodshed released
Chambers filled with deceptions
Don't trust the priest
The living dead
Corruption slips right through his fingers
You've been deceived
He who lives among the scums
And lives to tell the tales
The tale of the spineless ones
He'll be the last man standing
The tale of thy spineless one
Bloodshed released
Chambers filled with deceptions
Don't trust the priest
The living dead
Corruption slips right through his fingers
You've been deceived
Bloodshed released
Chambers filled with deceptions
Don't trust the priest
The living dead
Corruption slips right through his fingers
You've been deceived"
Living Monstrosity,Death,Spiritual Healing,1990,FALSE,"Every day
Blows by in a world of corrupt addiction
With life
Comes pain withdrawals and deformation
Breaking
The mould of human appearance
Contorting
Bodies chemical interference
The guilty one, innocent she now cries
A life of hell, better off to die!
Born without eyes, hands, and half a brain
Being born addicted to cocaine
Living monstrosity
Freak for life they'll always be
Never knowing love or hate
Only the pain the drug creates
Some say she's naive, she's a stupid bitch
Some say to forgive, guilty she should die
The beginning
Of the end begins at birth
Breeding
Masses of twisted screaming flesh
An example
We should make out of these creators of misfortune
A serious
Crime that should not be forgiven
The guilty one, innocent she now cries
A life of hell, better off to die!
Born without eyes, hands, and half a brain
Being born addicted to cocaine"
Deeper Down,Nightwish,Imaginaerum - The Score,11/9/2012,FALSE,"A crow flew to me kept it's distance
Such a proud creation
I saw it's soul, envied it's pride
But needed nothing it had
An owl came to me old and wise
Pierced right through my youth
I learned it's ways, envied it's sense
But needed nothing it had a dove came to me
Had no fear it rested on my arm
I touched it's calm, envied it's love
But needed nothing it had
A swan of white she came to me
The lake mirrored her beauty sweet
I kissed her neck, adored her grace
But needed nothing she could deal"
Anthem,Anthrax,Anthems,3/22/2013,FALSE,"Know your place in life is where you want to be
Don't let them tell you that you owe it all to me
You keep on looking forward...no use in looking 'round
Hold your head above the ground and they won't bring you down

Anthem of the heart and anthem of the mind
A funeral dirge for eyes gone blind
Yes we marvel after those who sought
The wonders of the world, wonders of the world
Wonders of the world they wrought

Live for yourself...there's no one else
More worth living for
And begging hands and bleeding hearts will only cry out for more

Anthem of the heart and anthem of the mind
A funeral dirge for eyes gone blind
Yes we marvel after those who sought
The wonders of the world, world they wrought

[Solo]

Well, I know they've always told you
Selfishness was wrong
Yet it was for me, not you, I came to write this song

Anthem of the heart and anthem of the mind
A funeral dirge for eyes gone blind
Yes we marvel after those who sought
The wonders of the world, world they wrought

Wrought
Wrought "
The Unveiling of O,Cradle Of Filth,The Manticore and Other Horrors - Extended Claws,5/20/2013,FALSE,
Next Day,Emperor,Jackhammer - EP,9/23/2013,FALSE,
Full of Hell,Entombed,Wolverine Blues (Full Dynamic Range Edition),10/4/1993,FALSE,"I've got a 24-lane highway
Going straight through my head
A peace of mind like a brainstorm
And thoughts that knocks me dead
I've got sympathy for the devil
And demon is in my vein
I'm organized chaos
But don't call me stupid I'm insane
At my worst I'm at my best
Wide awake but I let sanity rest
I'm full of hell
All kinds of hell
I've got a heart like a graveyard
They're dying to get in
I'm from a lot of different places
And I'm full of hell and sin
I'm offended by human nature
Was told the truth by someone who lied
There are times when not being human
Would be a source of inner pride
At my worst I'm at my best
Wide awake but I let sanity rest
In my heart and deep within
I've got it's fire under my skin
I'm full of hell
All kinds of hell
I'm full of hell
All kinds of hell"
I Could Have Been A Dreamer,Dio,Dream Evil (Deluxe Edition),1987,FALSE,"Running with the wolf pack
Feel like I'm never coming back
And every time there's sunshine
I'm blind, yeah
I am everybody
And everyone that I know is me
Everyone that I know won't see
I could have been a dreamer
I could have been a shooting star
I could have been a dreamer, yeah
I'm another number
And you know the numbers must agree
But every time the wind blows
I can't fly why?
We take away tomorrow
And never see the end of today
Lock it up and send it away forever
I could have been a dreamer
I could have been a shooting star
I could have been a dreamer
'Cause dreams are what we are
I could have been a dreamer oh oh
Running with the wolf pack
Feel like I'm never coming back
But maybe that was sunshine that I saw
I've heard about a rainbow
I've heard it makes you crazy
I think I'm goin' crazy
Crazy 'cause I see
I could have been a dreamer
I could have been a shooting star
I could have been a dreamer
'Cause dreams are what we are
I could have been a dreamer
I could have been the one to fly
I always could have been a dreamer
'Cause dreamers never die, no
I could have been a dreamer
Dreamer
I could have been a dreamer
Dreamer
I could have been a dreamer
Dreamer
I could have been a dreamer"
Trauma Of War,Sepultura,The Mediator Between Head And Hands Must Be The Heart,10/25/2013,FALSE,"Children watch their mothers die
Raping a city in the name of freedom
Children growing, their hate inside
A world they lost in the name of reason
I never came back from that trench
I can't be alone, I won't be alone
A schizophrenic cycle of paranoia

Trauma of war!
Trauma of war!
I saw the worst in the human nature
My hands are stained with the blood of death
Attack all ghosts, I'm like a soldier
Wasted minds that are all alike
I never came back from that trench
I can't be alone, I won't be alone
A schizophrenic cycle of paranoia

Trauma of war!
Trauma of war!

Freedom comes with a hail of bullets

My sun is getting dark
My urge to kill awakes
My world is no more
My urge to kill awakes
Children watch their mothers die
Raping a city in the name of freedom
Children growing, their hate inside
A world they lost in the name of reason
I never came back from that trench
I can't be alone, I won't be alone
A schizophrenic cycle of paranoia
Schizophrenic cycle of paranoia"
Demon of the Fall - Live,Opeth,Peaceville Presents... Opeth,5/20/2013,FALSE,"Silent dance with death
Everything is lost
Torn by the arrival of autumn
The blink of an eye, you know it's me
You keep the dagger close at hand
And you saw nothing
False love turned to pure hate
The wind cried lamentation
Before merging with the grey
Demon, demon of the fall
Demon, demon of the fall
Demon, demon of the fall
Demon, demon of the fall
Gasping for another breath
She rose, screaming at closed doors
Seductive faint mist
Forging through the cracks in the wall
I shan't resist
In tears for all of eternity
She turned around
And faced me for the first time
Run away, run away, run away
Run away, run away, run away
Just one second, and I was left with nothing
Her fragrance still pulsating through damp air
That day came to an end
And she had lost in me her credence"
Summer Dying Fast ('Midnight in the Labyrinth' Breadcrumb Trail),Cradle Of Filth,Peaceville Presents... Cradle of Filth,5/20/2013,FALSE,"Through acrid clouds of summer flies
The garden swells with a thousand more wise
Forever flung to celestial dreams
Clawing at the grave of the dead Nazarene
I watch the storm approaching
The darkness calls my name
The trees are growing restless
They feel the season change
Their fruit has putrified
Forbidden once and bound to die
The thread of life lies severed
On the brink of paradise
Grinning winds of hate unfurled
Dash towers tall that grip the sun
Talons stretch her veil
Reclamation, our time has come...
Autumn spreads its golden wings
And lays the path for those unseen
A tangled web of evil spun at last...
Winter spawn from barren thighs
To readdress, to slay the blind
And throw the reins untethered to the skies
They pray to the full moon rising
Diana moving with such infinite grace
Wrapped alone in a blanket of nightfall
How many secrets can they read by your face?
Will they know of majesty
Of beauty held in dream-dead sleep
And scarlet seas that bleed the frozen shores?
Will their ""god"" of bridled love
Assuage our rule from planes above
Or shrink in fear from Chaos roused for war?
WAR!
Wrest askew the nails
That have held you, lurking deep
September prayers are waning
Burn the shrines of fettered sheep
Spearhead the insurrection
Of a world that seeks no end
""We are what we are, what we shall be, again...""
Again...
Appear; draped in terror
To the comfort of your kin
Stain the milky sunset red
And let the others in...
Summer's dying..."
Ride into Obsession,Blind Guardian,The Need for Speed: The Best Speed Metal from Nuclear Blast,10/25/2013,FALSE,"Come, I show you the end
You're damned
Cause no one can defy me
Just watch these maddened creatures
Like you they all once reached out
A war to win
But I'm gonna burn this vision down
Call me the father of lies
Just watch these saddened creatures
They've turned you into the savior
You hold your ground
Until your last breath
You'll twist then turn
And now you're falling down
The battle rages on
And forever and ever
The wheel will turn
Let ages come and go
The wheel will turn now
The wheel will turn
Another ride into obsession
I am reborn
The wheel will turn now
The wheel will turn
And I'm driven to obsession
All these dying men
Try to understand
They all followed the sign
It's the cycle's end
There's no hope
For a while
From the ashes arise
Can't save her
Enjoy the flames
So precious, so pure
And you try
You're sure to fail
And madness
Is the price you've to pay
Unholy grounds
Witness your last breath
The cycle ends
And you're stumbling
The battle willl go on
And forever and ever
It's raging on
Let ages come and go
The wheel will turn now
The wheel will turn
Another ride into obsession
I am reborn
The wheel will turn now
The wheel will turn
And I'm driven to obsession
Through the flames you'll see me
You'll be mine, believe me
This is the moment I long for
Wake up there's a storm to face and
Right now while the land lies bleeding
It's me, I conquer your soul
Still I'll be on my way
Oh light, let me out here I pray
And over and over and over again
There is no beginning
No end
This war, it still goes on
And forever and ever
I will return
Let ages come and go
The wheel will turn now
The wheel will turn
Another you ride into obsession
I am reborn
The wheel will turn now
And I'm driven to obsession
Light - so serene
True source reign over me
There's no end and
There's no beginning
""You will never be alone""
There's no end and
There's no beginning
""You will never be alone"""
Lord of the Last Day,Dio,Magica (Deluxe Edition),6/25/2013,FALSE,"I love the night
So many shadows
Unholy light
Putting out the spark
Leave 'em in the dark - forever
Ooh
I can wait for you
Your end is my life
All lies are true
Secrets of the heart
And you can take them all - To heaven
I don't feel pain or sorrow
The child's a man tomorrow
Crossing the line - Then he's mine
Don't care which god you follow
Whose promises you swallow
Time and again
We must meet at the end
Aaah
It's all right
When the music is over
Come on and dance
For the lord of the last day
I love the night
So many shadows
Unholy light
Secrets of the heart
Leave 'em in the dark
Forever"
"Eyes of Wrath (Live @ Paramount Theatre, Huntington, New York)",Testament,Dark Roots of Thrash (Live),10/29/2013,FALSE,"Eyes of wrath
The beast is on your back
Razorblade slice your neck
Slowly tear you down
You take another life
To feed his bloody lust
Random crime spree attack
There's nothing random at all

Dead city nights
Another daughter's done
Can you hear the screams
Dead city nights
Another daughter's done
Another victim of circumstance
Took the wrong way home

Can you hear the screams
The music of the dead
A ritual of broken flesh
Anoints the silver blade

No one lives forever
There is no forever
And I'll tell you why

Rage
Rage soothes the pain
Pain
Pain soothes the rage

Lash out in anger
That never will chance
I can never escape

Rage
Rage soothes the pain
Pain
Pain soothes the rage
See Testament Live
Get tickets as low as $73
You might also like
True Believer
Testament
Down for Life
Testament
Practice What You Preach
Testament
Rage
Pain"
Manipulation Of Tragedy,Sepultura,The Mediator Between Head And Hands Must Be The Heart,10/25/2013,FALSE,"Strength!
The power behind the words
They block the instinct
My head
They have an interest
Learn, obey, but not to think!
Worship!
Bow down!
Why?
There's something that keeps us in check
It contradicts a big part of life
It's self-inflicted
Manipulated my God, the box
Worship!
Bow down!"
